LON,LAT,EDO,CLAVE,ESTACION,jun-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",100.77
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",155.81
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",62.94
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",147.94
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",99.61
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",96.1
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",91.04
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",115.31
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",77
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",129.7
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",125.61
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",66.52
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",102.21
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",173.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Catavińa, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.8
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0
-117.248056,32.415556,BC,ISLACORONADOmar,"Isla Coronado, B.C. SEMAR*",0
-115.502222,32.639444,BC,MEXICALIob,"Mexicali Observatorio, B.C. SMN*",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.2
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.3
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",7.8
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.01
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.03
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",4.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",3
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",9.82
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",19.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",12
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",12.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",8
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.01
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",306.6
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",369.25
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",675.7
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",216.4
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",539.51
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",508.5
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",369.8
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",567.3
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",365.21
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",574
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",757.7
-92.098056,18.254722,CAMP,PALIZADACA,"Palizada, Camp. SMN*",309.3
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",645.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",323.5
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",438.42
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",252.8
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",44
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",26.41
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",61.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",12.51
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",27.09
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",4.03
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",21.5
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",95.51
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",50.32
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",16.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",31
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",31.21
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",46
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",10.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",14.51
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",25
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",3.52
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",4.58
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",53.6
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",4.25
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",8.01
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",12.01
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",2
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",20.03
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",38.1
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",11.6
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",24.51
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",95.9
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",13.01
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",7
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",349.8
-92.114167,17.248889,CHIS,AGUAAZUL,"Agua Azul, Chis. SGT*",528.5
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",424.4
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",466.6
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",319.4
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",277.4
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",375.9
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",313.5
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",301.81
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",1001.9
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",338.8
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",216.6
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",908.8
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",539.7
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",257
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",288.5
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",437.4
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",107.3
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",357.9
-93.741389,16.671667,CHIS,CREDCINTALAPA,"Cred Cintalapa, Chis. PC*",37.3
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitan, Chis. PC*",316.25
-92.113056,15.435833,CHIS,CUILCOCFE,"Cuilco, Chis. CFE*",176.2
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",569.3
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",173
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",884.1
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",307.8
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",519.4
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. SGT*",321
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",728.5
-90.65,16.6,CHIS,ELTCP,"El Tigre, Chis.",29.11
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",712.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",496.4
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",465
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",899
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",348.3
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",1041.8
-93.273056,17.285833,CHIS,FCOLEONCFE,"Francisco León, Chis. CFE*",270
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",1272.1
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",352.3
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",818.5
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",285
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",833.7
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",1007.3
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",278.2
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",873.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",307.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",437
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",270.4
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",270.4
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",177
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",324.8
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",149.9
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",903.3
-92.673889,17.185556,CHIS,MOJOSTIC,"Mojostic, Chis. SGT*",0
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",327.7
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",424.2
-94.081111,16.475556,CHIS,NVOTENOCH,"Nuevo Tenochtitlán, Chis. CFE*",482.4
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",675.2
-93.087778,16.760278,CHIS,PARQUEOTE,"Parque Oriente, Chis. SGT*",200.4
-93.458611,17.446111,CHIS,PENCP,"Angel Albino Corzo, Chis.",265.1
-93.474444,17.463611,CHIS,PENITAS,"Peńitas, Chis. SGT*",184.55
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",645.9
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",35.96
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",379.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",286.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",400.91
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",378.8
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",258.8
-93.989722,16.470833,CHIS,RSACP,"Rosendo Salazar, Chis.",246.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",536.3
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",348.41
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",410.3
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",404.5
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",366.8
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",386.81
-93.858889,16.373333,CHIS,SEPULTURA,"La Sepultura, Chis. CFE*",233.5
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",27.3
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",345.8
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",78.6
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",466.9
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",228.2
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",397.3
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",550.7
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cańón del Sumidero, Chis. CFE*",315.7
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",420.9
-92.243333,14.99,CHIS,TAMCP,"Malpaso II, Chis.",805.12
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",657.3
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",668.1
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",208.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",357.6
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",390.4
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",416.2
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",301.4
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",380.3
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",297
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",195.36
-93.248056,16.253889,CHIS,VILLAFLORES,"Villaflores, Chis. SGT*",256.3
-92.147222,15.091111,CHIS,VTACANA,"Volcán Tacaná, Chis. SMN*",106.2
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",267.7
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",86
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",50.1
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",25
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",71.1
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuńa, Coah.",31
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",32.02
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",73
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",13.72
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",91.22
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad Acuńa, Coah. CILA*",26.2
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",49.4
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",19.01
-103.266667,25.766667,COAH,MADCL,"Madero, Coah.",9
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",68
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",112.4
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",52.2
-100.556944,28.667778,COAH,RIOESCONDIDOC,"Río Escondido Villa De Fuentes, Coah. CILA*",40
-100.634444,28.898611,COAH,RioSanRodrigoC,"Río San Rodrigo, Coah., CILA*",18
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",141.7
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jiménez, Coah. CILA*",31
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",69.75
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",52.5
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",31
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",7.35
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",99
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",21.61
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",109.51
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",108.52
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",39.32
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",60.81
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",40.75
-103.804167,19.2125,COL,CQMCM,"Coquimatlán, Col.",39.8
-103.6,19.325,COL,CUACM,"Cuauhtémoc, Col.",114.6
-103.884444,19.111389,COL,DJLCM,"P. deriv. Gregorio T. Q. Jala, Col.",52.74
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",20.1
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",19.9
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",53.9
-104.057778,19.391667,COL,MINATITLAN,"Minatitlán, Col. SMN*",79.7
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",78.7
-103.8125,19.3275,COL,PNTCM,"P. deriv. Peńitas, Col.",48.5
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",10.52
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",101.91
-103.867778,18.911667,COL,TCMCM,"Tecomán, Col.",16.02
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",123.51
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",196.49
-99.197222,19.388611,DF,CAJA6IPSAYP,"Caja-6 IP San Antonio y Periferico, Cd. de Méx. SACMEX*",107.75
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",92
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",119.33
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",114.5
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",127.03
-99.021667,19.256111,DF,CERRILLOS,"Cerrillos, Cd. de Méx. SACMEX*",115.5
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",135.5
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SACMEX*",18.5
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",105
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",154
-99.077778,19.4775,DF,CRAEOCAVM,"San Juan de Aragón (CRAE OCAVM), Cd. de Méx. SACMEX*",109.25
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",158.51
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",146.25
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",118.5
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",49
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",138
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",170.09
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",144.14
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",107.4
-99.073056,19.288611,DF,ELMOLINOCDMX,"El Molino, Cd. de Méx. SACMEX*",99.75
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",73.25
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",173.5
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",179.5
-99.235,19.308056,DF,FCMAGDALENA,"Foro Cultural Magdalena, Cd. de Méx. SACMEX*",1.5
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",140.4
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",113.5
-98.975,19.339167,DF,LACALDERA,"La Caldera Subestación eléctrica Santa Lucía, Méx. SACMEX*",143.79
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",131.54
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",150.5
-99.191944,19.416389,DF,MDELREY,"Molino del Rey, Cd. de Méx SMN*",117.2
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de Méx.",140.73
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SACMEX*",205.75
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",84.34
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",109.75
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",129.25
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",18.5
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",132.82
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",58.7
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",163.25
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",156.58
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",136.64
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SACMEX*",92
-99.219444,19.285278,DF,PICACHOHOMUN,"Picacho Homun, Cd. de Méx. SACMEX*",122.25
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",107.75
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",145.41
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",166.5
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",127.5
-99.177222,19.328889,DF,POZOCU,"Pozo C.U., Cd. de Méx. SACMEX*",94.74
-99.235556,19.423611,DF,PRESAMIXCOAC,"Presa Mixcoac, Cd. de Méx. SACMEX*",237
